SMILES,Adduct,True CCS
Oc1ccc(NC(=O)c2ccccc2O)cc1,[M+H]+,151.3645811
Oc1ccc(NC(=O)c2ccccc2O)cc1,[M-H]-,150.8785497
Oc1cc(OC)cc2OC(=CC(=O)c12)c6cc(c5c(O)cc(O)c3c5OC(=CC3=O)c4ccc(OC)cc4)c(OC)cc6,[M+H]+,235.3669477
Oc1cc(OC)cc2OC(=CC(=O)c12)c6cc(c5c(O)cc(O)c3c5OC(=CC3=O)c4ccc(OC)cc4)c(OC)cc6,[M-H]-,235.495502
Oc1cc(O)cc2OC(=CC(=O)c12)c6cc(c5c(O)cc(O)c3c5OC(=CC3=O)c4ccc(O)cc4)c(OC)cc6,[M+H]+,230.4867904
Oc1cc(O)cc2OC(=CC(=O)c12)c6cc(c5c(O)cc(O)c3c5OC(=CC3=O)c4ccc(O)cc4)c(OC)cc6,[M-H]-,221.4396404
Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,[M-H]-,169.3510479
OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,[M-H]-,169.5675002
OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+]([O-])=O,[M-H]-,166.9456549
OC(=O)c1ccccc1O,[M-H]-,121.2412502
OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,[M+H]+,159.3880034
OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,[M-H]-,160.6901885
O1O[C@]2(O[C@H]3O[C@@H](OC(=O)CCC(=O)O)[C@@H]([C@H]4[C@@]13[C@H]([C@@H](CC4)C)CC2)C)C,[M-H]-,185.7519844
O1[C@H]([C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O)O[C@@H]1[C@H]2C([C@H](CC[C@@]2([C@@H]2[C@]([C@]3([C@@H]([C@H](CC3)[C@@](O)(CCC=C(C)C)C)[C@@H](C2)O)C)(C1)C)C)O)(C)C,[M-H]-,266.6241479
O1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@]1([C@@]3(CC[C@]4(CCC(C[C@H]4C3=CC[C@H]21)(C)C)C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)C)C)C)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)O)C(=O)O,[M-H]-,310.4629372
O1[C@@]23[C@H]([C@@H]([C@]45[C@H]2CC[C@](O)(C4)C(=C)C5)C(=O)O)[C@](C1=O)([C@@H](O)C=C3)C,[M-H]-,177.6878343
O=C1CN(C(=O)NC(C)C)C(=O)N1c1cc(Cl)cc(Cl)c1,[M+H]+,180.2698089
O=C(OCCCCCCCC)c1ccccc1C(=O)OCCCCCCCC,[M+H]+,210.9954581
O=C(OC)C2=CO[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]3[C@@H]2[C@H](O)C[C@]3(C)OC(C)=O,[M-H]-,208.1894437
O=C(OC)C2=CO[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](C=C)[C@@H]2CC(=O)O,[M-H]-,190.50121
O[C@H]1[C@H]2[C@]([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@@H](O)CC4)(C)C)C)C1)C)(CC[C@@H]2[C@@]1(OC(CCC1)(C)C)C)C,[M+H]+,218.8171913
O[C@]1([C@@H]([C@@]2([C@H](C(CCC2)(C)C)CC1)C)CC[C@@](O)(C=C)C)C,[M-H]-,178.9341998
O[C@@H]1CC[C@H](C[C@H]1OC)/C=C(\C)/[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@H]([C@H](C[C@@H](C)C/C(=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)/C)OC)[C@H](C[C@H]2C)OC,[M-H]-,281.4629114
O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO)c1c(c(cc(c1)O)O)C(=O)CCc1ccc(cc1)O,[M-H]-,193.1076928
Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,[M+H]+,158.1947337
Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,[M-H]-,162.0307292
Nc1nc(=O)n(cc1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,[M+H]+,155.8590544
N1c2ccccc2Sc2ccccc12,[M-H]-,140.5386422
n1(cnc(c1O)C(=O)N)[C@H]1[C@@H]([C@@H]([C@H](O1)CO)O)O,[M-H]-,155.1440377
N(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C,[M+H]+,141.046345
N(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C,[M-H]-,139.8012005
COc2cc(O)ccc2/C=C/C(=O)c1ccc(O)cc1,[M+H]+,167.4537974
COc2cc(O)ccc2/C=C/C(=O)c1ccc(O)cc1,[M-H]-,171.5390084
COc1ccc(C[C@H]2COC(=O)[C@@H]2Cc2ccc(c(c2)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)cc1OC,[M-H]-,220.5798222
COc1cc(cc(c1OC)OC)CC=C,[M+H]+,144.7647538
COc1cc(cc(c1O)OC)C(=O)OC,[M-H]-,146.3547301
COc1cc(cc(c1O)OC)C(=O)O,[M-H]-,148.5875543
COc1cc(cc(c1C(=O)/C=C/c1ccccc1)O)O,[M+H]+,164.0165577
COc1cc(cc(c1C(=O)/C=C/c1ccccc1)O)O,[M-H]-,167.3512539
COc1cc(cc(c1)O)/C=C/c1ccc(cc1)O,[M+H]+,160.075347
COc1cc(cc(c1)O)/C=C/c1ccc(cc1)O,[M-H]-,166.2594724
COc1c(Nc2c3ccccc3nc3ccccc23)ccc(NS(=O)(=O)C)c1,[M-H]-,199.9712525
COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)OC,[M+H]+,231.5089288
COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)OC,[M-H]-,230.7757553
COC1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2OC)OC)O,[M+H]+,176.3584752
